epoch,step,train/loss,valid/loss
207,831,,0.5508384108543396
208,833,0.5368143320083618,
208,835,0.6635936498641968,
208,835,,0.5773216485977173
209,837,0.5353361964225769,
209,839,0.5285966992378235,
209,839,,0.5781521201133728
210,841,0.5412697196006775,
210,843,0.6144368648529053,
210,843,,0.5584080219268799
211,845,0.507498562335968,
211,847,0.5940215587615967,
211,847,,0.58893883228302
212,849,0.533185601234436,
212,851,0.5770964622497559,
212,851,,0.5524513125419617
213,853,0.5139604806900024,
213,855,0.5091351270675659,
213,855,,0.5885897278785706
214,857,0.541891872882843,
214,859,0.5705603957176208,
214,859,,0.5373289585113525
215,861,0.5199354887008667,
215,863,0.5980874300003052,
215,863,,0.5788359045982361
216,865,0.5378516912460327,
216,867,0.4681638479232788,
216,867,,0.5970159769058228
217,869,0.5330044627189636,
217,871,0.4645056128501892,
217,871,,0.5372483134269714
218,873,0.4917244017124176,
218,875,0.5263762474060059,
218,875,,0.5334057807922363
219,877,0.5344253182411194,
219,879,0.48092296719551086,
219,879,,0.5509477257728577
220,881,0.5739004611968994,
220,883,0.5486161112785339,
220,883,,0.5735887885093689
221,885,0.5420373678207397,
221,887,0.5762493014335632,
221,887,,0.5970360040664673
222,889,0.5936546921730042,
222,891,0.582261860370636,
222,891,,0.536946177482605
223,893,0.5464456081390381,
223,895,0.5238523483276367,
223,895,,0.5279654264450073
224,897,0.5130992531776428,
224,899,0.47817739844322205,
224,899,,0.5256313681602478
225,901,0.5344929099082947,
225,903,0.5061016082763672,
225,903,,0.5350782871246338
226,905,0.5151997804641724,
226,907,0.4225776195526123,
226,907,,0.5352113842964172
227,909,0.5126091837882996,
227,911,0.5077301859855652,
227,911,,0.5127386450767517
228,913,0.5046423077583313,
228,915,0.5575270056724548,
228,915,,0.5560485124588013
229,917,0.5664666295051575,
229,919,0.5771486163139343,
229,919,,0.5373406410217285
230,921,0.5832812786102295,
230,923,0.5683115720748901,
230,923,,0.5320638418197632
231,925,0.5511261224746704,
231,927,0.5261688232421875,
231,927,,0.5342066287994385
232,929,0.5202489495277405,
232,931,0.5053650140762329,
232,931,,0.5271438360214233
233,933,0.49430614709854126,
233,935,0.5572453737258911,
233,935,,0.5331003069877625
